danceability,energy,valence,tempo,loudness,acousticness
0.399,0.8809999999999999,0.272,84.58,-4.341,0.0019
0.5489999999999999,0.6509999999999999,0.368,122.818,-7.097,0.583
0.635,0.872,0.927,111.03,-12.744000000000002,0.245
0.65,0.593,0.825,143.179,-6.374,0.585
0.404,0.193,0.273,77.02600000000002,-12.501,0.794
0.767,0.677,0.5379999999999999,146.155,-6.127999999999999,0.0339
0.297,0.481,0.456,139.89600000000002,-7.681,0.574
0.545,0.948,0.206,69.961,-0.889,0.00111
0.457,0.4920000000000001,0.691,98.921,-8.104,0.4320000000000001
0.135,0.0649,0.14,59.425,-23.151,0.953
0.633,0.345,0.436,123.104,-11.576,0.631
0.741,0.8290000000000001,0.818,143.738,-12.048,0.0637
0.613,0.82,0.465,115.125,-10.175,0.181
0.7440000000000001,0.568,0.687,122.657,-9.629,0.18600000000000005
0.69,0.6509999999999999,0.706,97.918,-8.267000000000001,0.292
0.523,0.69,0.845,173.266,-13.527,0.21
0.392,0.213,0.312,100.518,-12.494000000000002,0.903
0.745,0.593,0.888,132.89700000000002,-12.33,0.0523
0.344,0.147,0.263,177.192,-10.3,0.922
0.607,0.639,0.359,107.006,-6.099,0.0348
0.393,0.588,0.728,203.145,-6.68,0.345
0.737,0.624,0.6509999999999999,107.959,-6.487,0.251
0.64,0.6509999999999999,0.8009999999999999,111.676,-14.981,0.142
0.787,0.42,0.838,161.247,-14.32,0.153
0.607,0.885,0.539,103.047,-3.0860000000000003,0.00091
0.721,0.6559999999999999,0.328,117.995,-5.501,0.011
0.772,0.417,0.52,126.219,-12.174,0.617
0.5329999999999999,0.362,0.45,82.993,-14.791,0.478
0.71,0.319,0.757,105.489,-12.387,0.534
0.7040000000000001,0.106,0.521,86.76299999999998,-15.169,0.939
0.5379999999999999,0.7859999999999999,0.917,172.019,-7.69,0.371
0.716,0.657,0.433,124.996,-5.877000000000002,0.0359
0.581,0.624,0.637,139.714,-8.346,0.0987
0.358,0.938,0.944,182.836,-5.577000000000001,0.00375
0.598,0.911,0.953,146.469,-3.97,0.222
0.51,0.855,0.644,93.038,-6.858,0.00604
0.525,0.8059999999999999,0.213,112.453,-3.655,8.18e-06
0.5379999999999999,0.969,0.928,138.65200000000002,-5.626,0.417
0.757,0.583,0.855,131.464,-14.74,0.16699999999999998
0.388,0.338,0.477,177.78400000000005,-10.054,0.652
0.6629999999999999,0.482,0.314,144.13,-12.093,0.18600000000000005
0.464,0.466,0.5870000000000001,139.299,-12.788,0.0149
0.8690000000000001,0.68,0.815,85.51899999999998,-6.233,0.0416
0.37,0.408,0.16399999999999998,125.068,-10.355,0.804
0.8009999999999999,0.723,0.883,109.03,-4.985,0.0713
0.435,0.428,0.61,95.534,-11.747,0.171
0.665,0.6859999999999999,0.275,96.848,-5.849,0.0518
0.68,0.967,0.895,115.748,-2.7710000000000004,0.0661
0.669,0.388,0.645,130.016,-11.547,0.605
0.769,0.371,0.653,100.001,-8.522,0.733
0.389,0.476,0.5660000000000001,148.11700000000005,-9.342,0.619
0.679,0.909,0.899,104.781,-4.129,0.00915
0.489,0.936,0.8220000000000001,111.845,-4.909,0.000168
0.8079999999999999,0.83,0.909,102.8,-3.995,0.613
0.593,0.7490000000000001,0.513,127.845,-6.185,0.383
0.5589999999999999,0.63,0.613,109.542,-8.731,0.0971
0.5429999999999999,0.619,0.846,96.842,-7.518,0.777
0.878,0.619,0.639,136.041,-5.56,0.0533
0.7829999999999999,0.706,0.96,141.02100000000004,-7.544,0.0493
0.635,0.926,0.7609999999999999,100.048,-5.589,0.0893
0.4270000000000001,0.211,0.0437,125.413,-11.838,0.473
0.725,0.523,0.95,76.292,-9.593,0.0783
0.7020000000000001,0.898,0.731,112.845,-6.002999999999999,0.00854
0.418,0.249,0.213,82.803,-13.744000000000002,0.841
0.6659999999999999,0.189,0.5720000000000001,80.312,-16.991,0.946
0.601,0.574,0.8,147.964,-8.166,0.579
0.48,0.6759999999999999,0.199,144.514,-7.727,0.00996
0.412,0.21,0.149,71.043,-12.465,0.535
0.405,0.643,0.278,173.803,-4.974,0.00372
0.501,0.7909999999999999,0.461,108.181,-4.996,0.00658
0.593,0.205,0.377,140.279,-14.601,0.8959999999999999
0.601,0.649,0.708,121.66,-10.57,0.0285
0.674,0.921,0.279,103.966,-3.274,0.0112
0.736,0.379,0.948,128.399,-13.208,0.301
0.542,0.914,0.5760000000000001,153.993,-4.747,0.0161
0.464,0.795,0.612,158.691,-9.267,0.0493
0.345,0.193,0.268,77.547,-10.236,0.74
0.555,0.875,0.5589999999999999,118.643,-5.287000000000001,0.0307
0.5870000000000001,0.866,0.35,91.298,-5.006,0.21600000000000005
0.326,0.872,0.4920000000000001,173.38099999999997,-7.602,0.214
0.461,0.994,0.7509999999999999,162.171,-3.4130000000000003,3.08e-05
0.5429999999999999,0.8340000000000001,0.179,90.01299999999998,-5.825,0.297
0.8290000000000001,0.748,0.324,90.01299999999998,-3.614,0.217
0.4,0.267,0.0872,144.799,-12.488,0.7440000000000001
0.64,0.841,0.0471,121.075,-2.426,0.153
0.8340000000000001,0.633,0.904,123.815,-11.442,0.0631
0.8270000000000001,0.952,0.971,121.192,-7.4529999999999985,0.172
0.443,0.727,0.5660000000000001,160.82,-7.951,0.263
0.5429999999999999,0.715,0.468,124.011,-8.89,0.0192
0.638,0.256,0.438,82.479,-15.68,0.8190000000000001
0.52,0.872,0.449,120.006,-4.354,6.71e-06
0.241,0.468,0.451,91.581,-9.579,0.534
0.716,0.88,0.66,166.12599999999995,-4.632,0.193
